HASHTAG,QUERYTYPE,CONCEPT1,CONCEPT2,SEGMENTED HASHTAG,HEAD CONCEPT
1000placestoseebeforeyoudie,Y,Best places,,1000 places to see before you die,places
100ideasoffice,N,,,100 ideas office,ideas
100mostbeautifulpinays,Y,Beautiful,,100 most beautiful pinay s,100
1017squad,N,,,1017squad,1017squad
101amazingfactsbymhqamazing,N,,,101amazingfactsbymhq amazing,101amazingfactsbymhq
101daysofsmiles,N,,,101 days of smiles,days
101top,N,,,101top,101top
101x,N,,,101x,101x
101years,N,,,101 years,years
10babygiftideas,Y,children,Gift Ideas,10 baby gift ideas,baby
10reasonswhypeoplefollowbrands,Y,brands,,10 reasons why people follow brands,reasons
15unspokenrulesofcourtesy,Y,rules,,15 unspoken rules of courtesy,rules
1800577tips,N,,,1800577tips,1800577tips
1millndeproblemas,N,,,1millnde problem as,as
1movieintheworld,N,,,1 movie in the world,movie
1ofmy99problemsis,N,,,1ofmy99 problems is,is
1yearsinceproblem,N,,,1 year since problem,year
2018winterolumpics,N,,,2018winterolumpics,2018winterolumpics
21picsofharryfrommycameraroll,Y,camera roll,,21 pics of harry from my camera roll,pics
2kproblems,N,,,2k problems,problems
365pics,N,,,365pics,365pics
3bestwordsever,Y,Best Words,,3 best words ever,3
46thboxofficeentertainmentawards2015,N,,,46th box office entertainment awards 2015,office
4bestwordsever,Y,Best Words,,4 best words ever,4
50facts,N,,,50 facts,facts
50factsaboutme,Y,about me,,50 facts about me,facts
50favpicsofcalumrt,N,,,50favpicsofcalumrt,50favpicsofcalumrt
50favpicsofpesy,N,,,50favpicsofpesy,50favpicsofpesy
50greatestbandsandartists,Y,bands,artists,50 greatest bands and artists,50
55millionsbeliebersintheworld,N,,,55millionsbeliebers in the world,55millionsbeliebers
5secondsofsummerbestbandmtvawards,N,,,5 seconds of summer best band mtv awards,seconds
5starcriminals,Y,Criminals,,5 star criminals,star
5thingsmybosssays,Y,Boss,,5 things my boss says,things
6thgoldenscreentvawards,N,,,6th golden screen tv awards,screen
6wordacceptancespeech,Y,acceptance speech,,6word acceptance speech,speech
7thgradeconfession,Y,confessions,,7th grade confession,confession
80smemories,Y,80s,memories,80s memories,memories
8daysuntilproblem,N,,,8 days until problem,days
90sinsults,Y,90s,insult,90s insults,insults
90stvshows,Y,90s,tv show,90stv shows,shows
90svideosbelike,Y,90s,video,90s videos be like,videos
a101qa,N,,,a101qa,a101qa
a90sbabyknows,Y,90s,,a90s baby knows,knows
aatoptenreviews,N,,,aa top ten reviews,aa
acmawardshttpstcoek0edbuu41,N,,,acm awards httpstcoek0edbuu41,acm
adventuresinbabysitting,Y,babysitting,,adventures in babysitting,adventures
advertisingtips,Y,Advertising tips,,advertising tips,tips
advicefory,N,,,advice for y,advice
africanlivesmatter,Y,African Lives,,african lives matter,matter
africanparentsbelike,Y,african parents,,african parents be like,parents
ahlanawardshttptcofvfbzxwjiw,N,,,ahl an award shttptcofvfbzxwjiw,ahl
akitakajofacts,N,,,akita kaj of acts,kaj
allblacklivesmatter,Y,Blacks,,all black lives matter,matter
allkpopawardshttptcokslwiahcwr,N,,,all kpop awards httptcokslwiahcwr,kpop
allpics,N,,,all pics,pics
americainfivewords,Y,america,,america in five words,america
americanhorrorstorys,Y,america,stories,american horror story s,s
annoyyourpartnerin5words,Y,annoy,,annoy your partner in 5 words,annoy
ant101uwl,N,,,ant101uwl,ant101uwl
antiterroriststrategy,Y,terrorism,,antiterrorist strategy,strategy
appleosx1011,N,,,apple osx1011,apple
artistsyoucantdislike,Y,artist,,artists you cant dislike,artists
asatadinersawards,N,,,as at a diners awards,awards
awardwinningmorningrush,N,,,award winning morning rush,rush
backwheniwaslittle,Y,children,,back when i was little,back
bakasyonproblemsbad,N,,,baka syon problems bad,baka
bandsthatareperfect,Y,bands,perfect,bands that are perfect,bands
bdubsproblems,N,,,b dubs problems,dubs
bebtips,N,,,be b tips,tips
bestbirthdaypresentever,Y,Birthday,Gift Ideas,best birthday present ever,present
bestcityintheworld,Y,city,,best city in the world,best
bestcomplimentever,Y,compliment,,best compliment ever,compliment
bestfeelingintheworld,Y,best feeling,,best feeling in the world,best
bestofbengaluru,Y,bengaluru,,best of bengal uru,best
bestplaceonearth,Y,Best Places,,best place on earth,best
bestplacestoswim,Y,Best Places,,best places to swim,places
bestplayerintheworld,Y,best player,,best player in the world,best
betawardsbeyonc,N,,,bet awards be y on c,bet
betterpics,N,,,better pics,pics
bibletruths,Y,bible,,bible truths,truths
birthdaypartywishlists,Y,birthday,party,birthday party wishlists,wishlists
birthdaywishlists,Y,birthday,wishlist,birthday wishlists,wishlists
blackcelebsbelike,Y,Blacks,,black celebs be like,celebs
blackgirlsfamouslines,Y,blacks,women,black girls famous lines,girls
blackmomscatchphrase,Y,Blacks,,black moms catchphrase,catchphrase
blacktranslivesmatter,Y,blacks,,black trans lives matter,lives
blackwomeninhollywood,Y,blacks,hollywood,black women in hollywood,women
blackwomenslivesmatter,Y,Blacks,,black womens lives matter,lives
bloggers4amazon,Y,blog,,bloggers 4 amazon,bloggers
breakfastofchampions,Y,breakfast of champions,,breakfast of champions,breakfast
breakupin4words,Y,breakup,,break up in 4 words,break
breakupin5words,Y,breakup,,break up in 5 words,break
bringbackourchildhood,Y,Childhood,,bring back our childhood,bring
britainsbrighteststreet,Y,britain,,britains brightest street,britains
britawardshttptcoynafbk6ajc,N,,,brit awards httptcoynafbk6ajc,brit
brokerbusinesstips,Y,business,,broker business tips,broker
businessvideos,Y,business,,business videos,videos
buyproblemonitunes,N,,,buy problem on itunes,buy
capbigideas,N,,,cap big ideas,cap
cartoonsarenottheproblemits,N,,,cartoons are not the problem its,its
celebrityawards2015,Y,awards,,celebrity awards 2015,awards
childhoodfears,Y,Childhood,,childhood fears,fears
childhoodmememories,Y,childhood,,childhood me memories,childhood
childhoodmemories,Y,childhood,memories,childhood memories,memories
childhoodtvprogrammes,Y,Childhood,,childhood tv programmes,programmes
childrenstories,Y,children,stories,children stories,children
chillsnotskills,N,,,chills not skills,chills
christmasgiftideas,Y,christmas,gift ideas,christmas gift ideas,christmas
cincyproblems,N,,,cincy problems,problems
coachingtips,Y,Coaching tips,,coaching tips,tips
cocmoments101,N,,,cocmoments101,cocmoments101
collegeapocalypse,Y,college,,college apocalypse,apocalypse
collegeinfivewords,Y,College,,college in five words,college
collegerules,Y,college,,college rules,rules
coloradoartprojectnews,Y,colorado art,project news,colorado art project news,news
commonannoyingbios,Y,Annoy,,common annoying bios,bios
complimentyourselfin4words,Y,compliment,,compliment yourself in 4 words,compliment
conferenceofchampions,Y,champions,,conference of champions,conference
confessionstour,N,,,confessions tour,tour
conservativebandnames,Y,bands,,conservative band names,names
creepychildrenstoys,Y,children,,creepy childrens toys,toys
crimeofthecentury,Y,crime,,crime of the century,crime
criminalsminds,Y,Criminals,,criminals minds,minds
criminalsneed,Y,criminals,,criminals need,need
criminalstories,Y,criminals,stories,criminal stories,stories
culturematters,Y,culture,,culture matters,matters
cupodcasttopics,N,,,cu podcast topics,topics
cutestcouple2015,Y,cute couple,,cutest couple 2015,cutest
dadliferules,Y,dad,,dad life rules,rules
dailythoughtsin4words,Y,daily thoughts,,daily thoughts in4 words,thoughts
datingrules,Y,Dating,,dating rules,dating
datingtruths,Y,dating,truths,dating truths,dating
depressing80sfilms,Y,80s,,depressing 80s films,depressing
describethe90sin4words,Y,,,describe the 90sin4 words,describe
diamondsofbangalore,Y,bangalore,,diamonds of bangalore,diamonds
dinnerin5words,Y,Dinner,,dinner in 5 words,dinner
dinnerplans,Y,dinner,Plans,dinner plans,plans
ditchyourdatein5words,Y,dating,,ditch your date in5 words,ditch
dpic50facts,N,,,dpic50 facts,facts
dpk1012,N,,,dpk1012,dpk1012
dream101,N,,,dream 101,dream
dumbcriminals,Y,criminals,,dumb criminals,criminals
efedadvice,N,,,e fed advice,advice
emmyawardwinning,N,,,emmy award winning,emmy
endofthewordconfessions,Y,Confessions,,end of the word confessions,end
epicshot,N,,,epic shot,shot
epicsundays,N,,,epic sundays,sundays
episodepicsbyrtw,N,,,episode pics by rtw,pics
essureoproblems,N,,,es sure o problems,es
everydaylifeinafghanistan,Y,afghanistan,life,everyday life in afghanistan,life
excusesforthecrimein5words,Y,criminals,excuses,excuses for the crime in 5 words,excuses
exois1010,N,,,exois1010,exois1010
explainthe90sin4words,Y,90s,,explain the 90sin4 words,explain
facebookpictures,N,,,facebook pictures,pictures
factsb,N,,,facts b,facts
factsdontlie,N,,,facts dont lie,lie
factssssss,N,,,facts ssss s,ssss
faithfulblackwomenoftwitter,Y,blacks,twitter,faithful black women of twitter,women
favequotes,N,,,fave quotes,quotes
favoritebrothersmoment,Y,brother,,favorite brothers moment,brothers
favoritefemaleartist,Y,artist,,favorite female artist,artist
favouritechildhoodbook,Y,childhood,,favourite childhood book,book
fergusontaughtme,N,,,ferguson taught me,taught
fightsofthecentury,Y,Century,,fights of the century,fights
fivewordstogetadate,Y,Dating,,five words to get a date,words
fivewordstomakeadatebetter,Y,Dating,,five words to make a date better,words
fivewordstoruinadate,Y,dating,,five words to ruin a date,words
fivewordstoruinadatei,Y,Dating,,five words to ruin a date i,words
fivewordstoruinadatewithafarmer,Y,dating,,five words to ruin a date with a farmer,words
fivewordstoruinaustraliaday,Y,australia,,five words to ruin australia day,words
flawlesslybeautifulcriminals,Y,Criminals,,flawlessly beautiful criminals,flawlessly
flyyourideas,N,,,fly your ideas,fly
fourwordstoruinadate,Y,dating,,four words to ruin a date,words
freepictures,N,,,free pictures,pictures
fromideastoaction,N,,,from ideas to action,ideas
fundskmthpeshawardonate,N,,,funds km th peshawar donate,km
g101,N,,,g101,g101
gambianoproblem,N,,,gambia no problem,gambia
geriatricbackpackertips,Y,Backpacking tips,,geriatric backpacker tips,tips
getonpwtips,N,,,get on pw tips,get
gimme5confessions,N,,,gimme5 confessions,confessions
glaadawardshttptcoa7tnpxwe2s,N,,,glaad awards httptcoa7tnpxwe2s,glaad
godschristianwarriors,Y,christian,,gods christian warriors,warriors
goldenglobeawards2015,Y,awards,golden globe,golden globe awards 2015,awards
goodadvicein4words,Y,Advice,,good advice in4 words,words
goodboyfriendsbelike,Y,boyfriend,,good boyfriends be like,boyfriends
goodcopstories,Y,stories,,good cop stories,stories
goodreviews,N,,,good reviews,reviews
gotproblems,N,,,got problems,got
gucci1017,N,,,gucci1017,gucci1017
happy500kbobongquotes,N,,,happy 500kbobong quotes,quotes
happybirthdayharrystyles,Y,birthday,,happy birthday harry styles,styles
hardcorecapitalist2016,Y,capitalist,,hardcore capitalist 2016,hardcore
harrywemissedtheyellowswimtrunkspics,N,,,harry we missed the yellow swim trunks pics,harry
hearhollywoodawards,Y,awards,,hear hollywood awards,hear
henryadvice,N,,,henry advice,advice
hintsampamptips,N,,,hints amp amp tips,tips
hollywoodmusicawardsjustin,N,,,hollywood music awards justin,awards
hot1015,N,,,hot1015,hot1015
hot1015app,N,,,hot1015app,hot1015app
